当前时间,cpu使用率
2018-06-28 17:56:10,15%
2018-06-28 17:56:11,89%
2018-06-28 17:56:12,89%
2018-06-28 17:56:13,89%
2018-06-28 17:56:14,89%
2018-06-28 17:56:15,89%
2018-06-28 17:56:16,89%
2018-06-28 17:56:17,89%
2018-06-28 17:56:18,89%
2018-06-28 17:56:19,89%
2018-06-28 17:56:20,32%
2018-06-28 17:56:21,32%
2018-06-28 17:56:22,32%
2018-06-28 17:56:23,32%
2018-06-28 17:56:24,32%
2018-06-28 17:56:25,32%
2018-06-28 17:56:27,32%
2018-06-28 17:56:28,32%
2018-06-28 17:56:29,32%
2018-06-28 17:56:30,32%
2018-06-28 17:56:31,32%
2018-06-28 17:56:32,32%
2018-06-28 17:56:33,32%
2018-06-28 17:59:58,5.8%
2018-06-28 17:59:58,0%
2018-06-28 17:59:59,5.8%
2018-06-28 17:59:59,0%
2018-06-28 18:00:00,5.8%
2018-06-28 18:00:00,0%
2018-06-28 18:00:01,12%
2018-06-28 18:00:02,12%
2018-06-28 18:00:03,12%
2018-06-28 18:00:04,12%
2018-06-28 18:00:05,34%
